6/8/2015	7:16:46 AM	2.95	0.00	4.18	2.80	< 1	Running	Auto	16.6	30.6	31.3	78.2	13171.3	93.9	298	12.00	177	0.86
6/8/2015	7:46:46 AM	2.93	0.00	4.18	2.80	< 1	Running	Auto	16.8	30.9	31.4	78.2	13171.8	94.4	298	11.00	175	0.87
6/8/2015	8:16:48 AM	2.94	0.00	4.18	3.60	1.9	Running	Auto	16.0	30.5	30.9	77.9	13172.3	94.0	297	10.00	172	0.86
6/8/2015	8:46:48 AM	2.92	0.00	4.18	3.60	1.9	Running	Auto	16.6	30.9	31.5	77.9	13172.8	94.6	298	10.00	169	0.87
6/8/2015	9:16:50 AM	2.93	0.00	4.18	4.10	3.2	Running	Auto	16.4	31.4	31.7	78.1	13173.3	94.3	298	9.00	166	0.87
6/8/2015	9:46:50 AM	2.91	0.00	4.18	4.10	3.2	Running	Auto	16.3	30.9	31.4	78.1	13173.8	95.0	298	9.00	164	0.87
6/8/2015	10:16:52 AM	2.92	0.00	4.18	4.60	4.5	Running	Auto	16.1	30.5	31.1	77.9	13174.3	94.2	298	8.00	161	0.87
6/8/2015	10:46:52 AM	2.90	0.00	4.18	4.60	4.5	Running	Auto	16.0	30.4	31.1	77.9	13174.8	95.4	298	8.00	158	0.87
6/8/2015	11:16:54 AM	3.15	0.00	4.18	5.00	5.6	Running	Auto	15.9	30.6	30.9	78.1	13175.3	95.0	298	6.00	159	0.86
6/8/2015	11:47:04 AM	3.10	0.00	4.19	5.00	5.6	Running	Auto	15.8	30.5	30.9	78.1	13175.8	95.3	299	9.00	187	0.86
6/8/2015	12:17:06 PM	2.86	0.00	4.14	5.50	6.9	Running	Auto	16.0	30.3	30.9	77.9	13176.3	95.0	294	9.00	216	0.87
6/8/2015	12:47:06 PM	2.95	0.00	4.18	5.50	6.9	Running	Auto	15.9	31.0	31.3	78.2	13176.8	95.5	299	74.00	242	0.87
6/8/2015	1:17:08 PM	2.94	0.00	4.18	5.90	7.9	Running	Auto	15.7	30.6	30.9	78.2	13177.3	94.8	298	119.00	238	0.86
6/8/2015	1:47:08 PM	2.95	0.00	4.18	5.90	7.9	Running	Auto	16.0	30.5	30.9	78.3	13177.8	95.1	299	124.00	241	0.87
6/8/2015	2:17:10 PM	2.96	0.00	4.18	6.30	9.0	Running	Auto	15.6	30.1	30.6	78.2	13178.3	95.1	298	124.00	237	0.87
6/8/2015	2:47:10 PM	2.94	0.00	4.18	6.30	9.0	Running	Auto	15.7	30.1	30.6	78.2	13178.8	95.1	299	124.00	234	0.87
6/8/2015	3:17:12 PM	2.95	0.00	4.18	6.70	10.1	Running	Auto	15.6	30.5	30.7	78.2	13179.3	95.5	298	124.00	231	0.87
6/8/2015	3:47:12 PM	2.94	0.00	4.18	6.70	10.1	Running	Auto	15.6	30.1	30.6	78.1	13179.8	94.7	298	124.00	227	0.87
6/8/2015	4:17:13 PM	2.96	0.00	4.18	7.10	11.1	Running	Auto	15.6	30.0	30.5	78.2	13180.3	94.4	297	123.00	235	0.87
6/8/2015	4:47:13 PM	2.94	0.00	4.18	7.10	11.1	Running	Auto	15.6	30.1	30.6	78.2	13180.8	94.9	298	124.00	234	0.87
6/8/2015	5:17:15 PM	2.95	0.00	4.18	7.50	12.2	Running	Auto	15.6	30.2	30.7	78.2	13181.3	93.9	297	124.00	231	0.87
6/8/2015	5:47:15 PM	2.94	0.00	4.18	7.50	12.2	Running	Auto	15.6	30.0	30.5	78.3	13181.8	94.4	298	124.00	228	0.87
6/8/2015	6:17:17 PM	2.95	0.00	4.18	7.90	13.2	Running	Auto	15.7	30.3	30.5	78.1	13182.3	94.4	298	123.00	224	0.87
6/8/2015	6:47:27 PM	2.94	0.00	4.18	7.90	13.2	Running	Auto	15.9	30.1	30.7	78.2	13182.8	95.2	298	122.00	221	0.87
6/8/2015	7:17:29 PM	2.94	0.00	4.18	8.20	14.0	Running	Auto	15.8	30.1	30.8	78.2	13183.3	94.3	298	121.00	218	0.87
6/8/2015	7:47:29 PM	2.93	0.00	4.18	8.20	14.0	Running	Auto	15.9	30.1	30.8	78.2	13183.8	94.9	298	120.00	215	0.87
6/8/2015	8:17:31 PM	2.94	0.00	4.17	8.60	15.1	Running	Auto	15.7	29.8	30.5	78.1	13184.3	95.0	298	119.00	212	0.86
6/8/2015	8:47:41 PM	2.93	0.00	4.18	8.60	15.1	Running	Auto	15.7	30.0	30.5	78.1	13184.8	94.7	298	118.00	210	0.87
6/8/2015	9:17:43 PM	2.93	0.00	4.18	9.00	16.2	Running	Auto	16.1	30.0	30.6	78.1	13185.3	94.0	298	118.00	207	0.87
6/8/2015	9:47:53 PM	2.93	0.00	4.18	9.00	16.2	Running	Auto	15.9	29.9	30.6	78.2	13185.8	94.2	297	117.00	204	0.87
6/8/2015	10:17:55 PM	2.94	0.00	4.18	9.30	17.0	Running	Auto	16.2	30.1	30.8	78.2	13186.3	95.0	299	116.00	201	0.87
6/8/2015	10:47:55 PM	2.92	0.00	4.18	9.30	17.0	Running	Auto	16.8	30.6	31.2	78.4	13186.8	94.0	298	116.00	198	0.86
6/8/2015	11:17:57 PM	2.93	0.00	4.17	9.70	18.0	Running	Auto	16.8	30.6	31.2	78.4	13187.3	94.5	298	115.00	195	0.87
6/8/2015	11:47:57 PM	2.92	0.00	4.17	9.70	18.0	Running	Auto	16.8	30.5	31.2	78.3	13187.8	94.1	298	114.00	192	0.87
6/9/2015	12:17:59 AM	2.93	0.00	4.17	10.10	19.1	Running	Auto	16.7	30.6	31.1	78.4	13188.3	94.6	298	114.00	190	0.87
